city,lat,lon
"Peoria, Illinois",40.6938609,-89.5891008
"Roselle, Illinois",41.9847505,-88.0797933
"Naperville, Illinois",41.7729107,-88.147867
"Chicago, Illinois",41.8755546,-87.6244212
"Chicago, Illinois",41.8755546,-87.6244212
"Chicago, Illinois",41.8755546,-87.6244212
"McHenry, Illinois",42.3294391,-88.4605713
"Chicago, Illinois",41.8755546,-87.6244212
"Chicago, Illinois",41.8755546,-87.6244212
"Western Springs, Illinois",41.8097533,-87.9006155
"Clarendon Hills, Illinois",41.7975307,-87.9547835
"Wheaton, Illinois",41.8646959,-88.1101709
"Chicago, Illinois",41.8755546,-87.6244212
"Glencoe, Illinois",42.1350268,-87.7581188
"Chicago, Illinois",41.8755546,-87.6244212
"Barrington, Illinois",42.1539141,-88.1361888
"Chicago, Illinois",41.8755546,-87.6244212
"Springfield, Illinois",39.7989763,-89.6443688
"Chicago, Illinois",41.8755546,-87.6244212
"Dorsey, Illinois",38.9736574,-90.0014932
"Chicago, Illinois",41.8755546,-87.6244212
"Western Springs, Illinois",41.8097533,-87.9006155
"Wheaton, Illinois",41.8646959,-88.1101709
"Geneva, Illinois",41.8875281,-88.3053525
"Galesburg, Illinois",40.9478158,-90.3712395
"Chicago, Illinois",41.8755546,-87.6244212
"Chicago, Illinois",41.8755546,-87.6244212
"Homewood, Illinois",41.5572567,-87.6656015
"Champaign, Illinois",40.1164205,-88.2433829
"Vernon Hills, Illinois",42.2194686,-87.9795188
"Oak Park, Illinois",41.8850317,-87.7845025
"Gilberts, Illinois",42.1034365,-88.3745145
"Chicago, Illinois",41.8755546,-87.6244212
"Naperville, Illinois",41.7729107,-88.147867
"Chicago, Illinois",41.8755546,-87.6244212
"Mount Prospect, Illinois",42.0664167,-87.9372908
"Wilmington, Illinois",41.3078094,-88.1467243
"Palos Heights, Illinois",41.6681632,-87.7962812
"Springfield, Illinois",39.7989763,-89.6443688
"Decatur, Illinois",39.8628075,-88.8938718177351
"Chicago, Illinois",41.8755546,-87.6244212
"Evanston, Illinois",42.0447388,-87.6930459
"McHenry, Illinois",42.3294391,-88.4605713
"Chicago, Illinois",41.8755546,-87.6244212
"Park Ridge, Illinois",42.0111412,-87.8406192
"Chicago, Illinois",41.8755546,-87.6244212
"Chicago, Illinois",41.8755546,-87.6244212
"Galesburg, Illinois",40.9478158,-90.3712395
"Oak Park, Illinois",41.8850317,-87.7845025
"Chicago, Illinois",41.8755546,-87.6244212
"La Grange, Illinois",41.8054577,-87.8748644
"Chicago, Illinois",41.8755546,-87.6244212
"Chicago, Illinois",41.8755546,-87.6244212
"Chicago, Illinois",41.8755546,-87.6244212
"Berwyn, Illinois",41.8505874,-87.7936685
"Riverdale, Illinois",41.6333678,-87.6331021
"Naperville, Illinois",41.7729107,-88.147867
"Belleville, Illinois",38.5200504,-89.9839935
"Elgin, Illinois",42.0372487,-88.2811895
"Highland Park, Illinois",42.1816919,-87.8003438
"Chicago, Illinois",41.8755546,-87.6244212
"Evanston, Illinois",42.0447388,-87.6930459
"Forest Park, Illinois",41.8794758,-87.81367
"Buffalo Grove, Illinois",42.1675825,-87.9556401083333
"Dixon, Illinois",41.842224,-89.4815485
"Crystal Lake, Illinois",42.2411344,-88.3161965
"Chicago, Illinois",41.8755546,-87.6244212
"Geneva, Illinois",41.8875281,-88.3053525
"Northbrook, Illinois",42.1296875,-87.830542
