Rank,Urban area,type,Population,Land area,Smallest gap
1,"Chicago-Aurora-Elgin-Joliet-Waukegan, IL-IN",UA,"8,307,904","5,498.10",n/a
2,"Round Lake Beach-McHenry-Grayslake, IL-WI",UA,"226,848",344.9,2
3,"Kenosha, WI",UA,"110,942",109.2,1
4,"Michigan City-LaPorte, IN-MI",UA,"66,199",86.1,3
5,"Kankakee-Bradley-Bourbonnais, IL",UA,"65,073",71.5,>10
6,"DeKalb-Sycamore, IL",UA,"55,805",46.3,>10
7,"Woodstock, IL",UC,"20,219",21.1,4
8,"Morris, IL",UC,"13,927",19.3,>10
9,"Sandwich, IL",UC,"12,248",23.9,>10
10,"Braidwood-Coal City, IL",UC,"11,607",19.5,>10
11,"Harvard, IL",UC,"8,575",13.3,>10
12,"Lakes of the Four Seasons, IN",UC,"8,450",12.5,4
13,"Lowell, IN",UC,"7,914",15.8,>10
14,"Wilmington, IL",UC,"7,107",20.8,>10
15,"Manteno, IL",UC,"7,106",9.4,>10
16,"Marengo, IL",UC,"6,854",8.6,>10
17,"Rensselaer, IN",UC,"6,096",10.9,>10
18,"Plano, IL",UC,"5,911",6.5,3
19,"Genoa, IL",UC,"5,137",5.5,>10
20,"Genoa City, WI-IL",UC,"5,126",12.5,>10
21,"Westville, IN",UC,"5,077",4.4,>10
22,"Hebron, IN",UC,"4,150",11.7,>10
23,"Momence, IL",UC,"3,711",9.7,>10
24,"Peotone, IL",UC,"3,358",3.5,9
25,"Wonder Lake, IL",UC,"2,798",2,5
26,"Monee, IL",UC,"2,787",3.7,3
27,"Union Township, Porter County, IN",UC,"2,593",4.9,1
28,"Hampshire, IL",UC,"2,591",2,6
